x__0,x__1,x__2,x__3,x__4,x__5,x__6,x__7,x__8,x__9,x__10,x__11,x__12,x__13,x__14,x__15,x__16,x__17,x__18,x__19,y__0,y__1,y__2,y__3,y__4,y__5,y__6,y__7,y__8,y__9,y__10,y__11,y__12,y__13,y__14,y__15,y__16,y__17,y__18,y__19
121,128,10,341,35,43,53,62,39,5,674,140,464,133,235,547,39,422,497,42,128,10,341,35,43,53,62,39,5,674,140,464,133,235,547,39,422,497,42,134
5,146,57,29,13,19,69,5,53,23,21,634,15,65,44,5,5,37,57,640,146,57,29,13,19,69,5,53,23,21,634,15,65,44,5,5,37,57,640,63
605,21,35,8,63,674,57,32,37,57,82,87,97,42,9,9,64,676,445,182,21,35,8,63,674,57,32,37,57,82,87,97,42,9,9,64,676,445,182,9
586,36,57,383,32,35,5,64,539,68,377,62,65,35,11,29,42,36,23,675,36,57,383,32,35,5,64,539,68,377,62,65,35,11,29,42,36,23,675,27
23,10,674,279,297,40,183,64,411,468,36,23,36,40,646,65,29,357,315,199,10,674,279,297,40,183,64,411,468,36,23,36,40,646,65,29,357,315,199,10
674,408,326,674,427,145,219,505,279,133,444,183,579,253,659,10,489,566,21,674,408,326,674,427,145,219,505,279,133,444,183,579,253,659,10,489,566,21,674,285
188,37,570,67,65,35,5,53,23,675,17,65,9,62,680,326,636,23,44,62,37,570,67,65,35,5,53,23,675,17,65,9,62,680,326,636,23,44,62,21
65,44,674,161,42,253,659,57,4,63,53,25,69,675,53,24,545,182,156,415,44,674,161,42,253,659,57,4,63,53,25,69,675,53,24,545,182,156,415,10
674,82,87,97,10,666,13,39,63,53,23,675,299,173,534,475,10,545,156,68,82,87,97,10,666,13,39,63,53,23,675,299,173,534,475,10,545,156,68,679
23,675,427,279,40,43,674,261,402,654,259,146,395,385,674,288,310,137,19,69,675,427,279,40,43,674,261,402,654,259,146,395,385,674,288,310,137,19,69,57
53,21,29,675,285,357,297,68,287,56,35,54,29,62,674,134,42,137,43,568,21,29,675,285,357,297,68,287,56,35,54,29,62,674,134,42,137,43,568,9
106,74,112,100,88,113,43,15,32,21,35,285,57,481,42,61,6,40,47,64,74,112,100,88,113,43,15,32,21,35,285,57,481,42,61,6,40,47,64,53
32,29,285,357,29,31,42,8,9,16,36,23,675,53,29,328,244,39,38,36,29,285,357,29,31,42,8,9,16,36,23,675,53,29,328,244,39,38,36,357
279,368,513,3,10,252,7,64,325,518,42,475,353,40,231,23,64,37,593,244,368,513,3,10,252,7,64,325,518,42,475,353,40,231,23,64,37,593,244,68
54,194,23,29,56,42,497,68,608,40,150,15,64,17,37,30,37,674,67,29,194,23,29,56,42,497,68,608,40,150,15,64,17,37,30,37,674,67,29,21
10,674,427,145,279,297,43,275,218,37,277,437,357,40,382,9,65,29,279,297,674,427,145,279,297,43,275,218,37,277,437,357,40,382,9,65,29,279,297,36
13,65,64,153,636,10,5,53,23,675,376,594,68,21,29,63,674,274,68,279,65,64,153,636,10,5,53,23,675,376,594,68,21,29,63,674,274,68,279,40
57,10,69,44,65,39,5,45,37,674,10,69,44,63,23,12,35,348,37,160,10,69,44,65,39,5,45,37,674,10,69,44,63,23,12,35,348,37,160,68
227,255,42,129,33,36,674,169,545,273,10,309,39,5,475,480,43,212,178,425,255,42,129,33,36,674,169,545,273,10,309,39,5,475,480,43,212,178,425,154
570,32,35,8,11,53,23,10,674,427,145,279,297,43,275,218,37,277,437,357,32,35,8,11,53,23,10,674,427,145,279,297,43,275,218,37,277,437,357,40
36,11,64,182,514,42,396,57,277,13,674,319,419,23,65,44,449,610,490,304,11,64,182,514,42,396,57,277,13,674,319,419,23,65,44,449,610,490,304,405
37,303,332,68,135,512,23,64,17,37,43,652,323,40,257,651,36,23,675,309,303,332,68,135,512,23,64,17,37,43,652,323,40,257,651,36,23,675,309,293
577,404,21,35,5,53,23,675,53,24,517,677,40,285,293,297,478,43,461,146,404,21,35,5,53,23,675,53,24,517,677,40,285,293,297,478,43,461,146,68
326,203,674,402,423,43,129,485,562,502,39,146,37,27,6,36,39,5,146,42,203,674,402,423,43,129,485,562,502,39,146,37,27,6,36,39,5,146,42,432
483,36,57,674,38,69,39,476,269,36,57,674,38,69,39,134,483,36,57,674,36,57,674,38,69,39,476,269,36,57,674,38,69,39,134,483,36,57,674,29
4,13,17,37,39,11,286,283,348,37,674,501,157,42,133,185,444,40,306,23,13,17,37,39,11,286,283,348,37,674,501,157,42,133,185,444,40,306,23,64
6,18,20,5,53,23,675,4,39,29,29,31,43,467,469,39,516,141,68,217,18,20,5,53,23,675,4,39,29,29,31,43,467,469,39,516,141,68,217,31
456,43,184,35,146,636,10,275,7,35,5,13,57,42,39,42,36,674,147,557,43,184,35,146,636,10,275,7,35,5,13,57,42,39,42,36,674,147,557,7
36,23,41,675,402,423,501,157,43,315,199,42,25,5,36,674,25,32,9,13,23,41,675,402,423,501,157,43,315,199,42,25,5,36,674,25,32,9,13,42
65,64,42,43,444,543,251,30,15,36,674,652,444,565,649,479,42,146,43,545,64,42,43,444,543,251,30,15,36,674,652,444,565,649,479,42,146,43,545,182
675,17,65,43,259,157,594,251,42,285,357,449,473,61,63,159,5,396,294,36,17,65,43,259,157,594,251,42,285,357,449,473,61,63,159,5,396,294,36,23
187,42,262,264,587,659,42,568,454,40,637,67,64,458,215,68,83,110,128,97,42,262,264,587,659,42,568,454,40,637,67,64,458,215,68,83,110,128,97,23
51,37,69,38,42,285,357,43,438,200,68,266,1,37,559,164,23,64,61,6,37,69,38,42,285,357,43,438,200,68,266,1,37,559,164,23,64,61,6,40
357,42,167,174,37,369,536,42,61,19,43,129,551,21,35,5,64,42,40,674,42,167,174,37,369,536,42,61,19,43,129,551,21,35,5,64,42,40,674,285
105,79,87,91,126,40,37,32,35,43,631,563,30,10,674,402,423,40,43,470,79,87,91,126,40,37,32,35,43,631,563,30,10,674,402,423,40,43,470,637
675,4,39,29,400,40,43,674,427,279,107,120,126,98,10,53,32,29,13,620,4,39,29,400,40,43,674,427,279,107,120,126,98,10,53,32,29,13,620,479
146,424,133,605,57,227,255,42,129,33,36,674,169,545,273,10,309,39,5,475,424,133,605,57,227,255,42,129,33,36,674,169,545,273,10,309,39,5,475,480
63,40,8,311,68,569,32,35,5,29,42,40,449,50,35,674,147,43,89,81,40,8,311,68,569,32,35,5,29,42,40,449,50,35,674,147,43,89,81,103
20,53,39,399,21,5,195,632,10,478,53,65,53,21,29,675,411,151,42,275,53,39,399,21,5,195,632,10,478,53,65,53,21,29,675,411,151,42,275,218
17,69,39,580,68,542,11,53,21,29,675,2,79,112,674,38,17,42,279,297,69,39,580,68,542,11,53,21,29,675,2,79,112,674,38,17,42,279,297,686
158,39,268,238,10,277,5,3,675,37,5,6,17,37,43,674,219,297,630,68,39,268,238,10,277,5,3,675,37,5,6,17,37,43,674,219,297,630,68,642
35,57,27,65,10,185,444,40,267,67,65,39,5,501,157,10,4,39,29,29,57,27,65,10,185,444,40,267,67,65,39,5,501,157,10,4,39,29,29,31
61,6,40,21,35,13,30,19,5,675,4,39,29,29,31,10,147,402,2,10,6,40,21,35,13,30,19,5,675,4,39,29,29,31,10,147,402,2,10,69
42,501,157,622,194,10,622,54,674,481,285,325,518,42,425,154,10,397,5,33,501,157,622,194,10,622,54,674,481,285,325,518,42,425,154,10,397,5,33,33
57,39,13,39,32,35,5,53,25,69,675,285,357,623,215,42,134,151,144,151,39,13,39,32,35,5,53,25,69,675,285,357,623,215,42,134,151,144,151,36
441,5,36,678,485,491,40,308,19,9,32,29,42,36,23,10,674,474,261,43,5,36,678,485,491,40,308,19,9,32,29,42,36,23,10,674,474,261,43,70
677,675,676,61,63,57,159,5,674,23,39,67,31,285,293,297,478,42,400,10,675,676,61,63,57,159,5,674,23,39,67,31,285,293,297,478,42,400,10,183
40,43,674,39,69,62,9,42,584,404,10,563,64,17,37,68,364,246,21,53,43,674,39,69,62,9,42,584,404,10,563,64,17,37,68,364,246,21,53,23
36,426,53,21,29,675,147,43,17,42,458,215,68,335,11,532,5,36,13,65,426,53,21,29,675,147,43,17,42,458,215,68,335,11,532,5,36,13,65,64
100,88,113,37,5,6,285,357,623,215,36,23,10,674,106,74,112,100,88,113,88,113,37,5,6,285,357,623,215,36,23,10,674,106,74,112,100,88,113,43
35,674,509,54,512,35,29,57,42,68,549,195,10,233,15,232,64,509,54,512,674,509,54,512,35,29,57,42,68,549,195,10,233,15,232,64,509,54,512,35
29,21,43,500,170,21,35,5,53,23,675,497,68,478,54,194,23,497,68,674,21,43,500,170,21,35,5,53,23,675,497,68,478,54,194,23,497,68,674,114
135,435,515,42,628,379,68,615,62,65,674,285,357,42,636,40,279,11,39,432,435,515,42,628,379,68,615,62,65,674,285,357,42,636,40,279,11,39,432,315
269,36,21,60,6,9,675,149,279,297,37,42,238,82,126,672,238,239,82,126,36,21,60,6,9,675,149,279,297,37,42,238,82,126,672,238,239,82,126,105
277,13,10,652,444,565,649,479,36,148,142,68,21,35,8,63,674,545,182,156,13,10,652,444,565,649,479,36,148,142,68,21,35,8,63,674,545,182,156,415
74,112,100,88,113,37,5,6,285,357,623,215,36,23,10,674,106,74,112,100,112,100,88,113,37,5,6,285,357,623,215,36,23,10,674,106,74,112,100,88
13,501,157,346,322,21,29,5,146,57,29,13,19,69,5,53,23,21,634,15,501,157,346,322,21,29,5,146,57,29,13,19,69,5,53,23,21,634,15,65
677,677,675,682,674,395,385,543,36,683,675,684,671,37,159,132,21,53,23,675,677,675,682,674,395,385,543,36,683,675,684,671,37,159,132,21,53,23,675,17
42,685,205,152,131,10,545,182,156,415,68,37,32,35,5,53,23,675,36,23,685,205,152,131,10,545,182,156,415,68,37,32,35,5,53,23,675,36,23,10
23,55,61,6,40,23,64,29,56,36,23,675,89,81,103,120,43,279,324,40,55,61,6,40,23,64,29,56,36,23,675,89,81,103,120,43,279,324,40,463
545,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,677,254,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,677,254,36
5,6,297,253,36,23,675,42,31,40,86,74,126,92,128,499,510,37,247,44,6,297,253,36,23,675,42,31,40,86,74,126,92,128,499,510,37,247,44,65
253,40,57,109,126,93,116,128,10,4,63,53,23,675,561,617,21,35,5,13,40,57,109,126,93,116,128,10,4,63,53,23,675,561,617,21,35,5,13,297
411,53,36,36,674,27,65,152,639,42,278,683,411,59,684,411,53,36,293,166,53,36,36,674,27,65,152,639,42,278,683,411,59,684,411,53,36,293,166,68
674,53,29,43,650,291,23,64,17,37,674,38,65,57,549,480,40,628,50,64,53,29,43,650,291,23,64,17,37,674,38,65,57,549,480,40,628,50,64,61
35,5,15,64,497,68,608,40,33,15,35,57,62,5,29,5,675,279,297,36,5,15,64,497,68,608,40,33,15,35,57,62,5,29,5,675,279,297,36,297
67,65,64,37,4,39,29,10,29,10,356,7,64,17,37,27,42,57,42,10,65,64,37,4,39,29,10,29,10,356,7,64,17,37,27,42,57,42,10,674
33,40,39,63,53,21,29,675,529,291,23,64,17,37,674,529,291,21,39,5,40,39,63,53,21,29,675,529,291,23,64,17,37,674,529,291,21,39,5,17
43,5,29,42,686,586,57,588,50,29,17,37,10,39,9,32,29,9,62,674,5,29,42,686,586,57,588,50,29,17,37,10,39,9,32,29,9,62,674,181
64,9,62,36,23,675,297,187,40,37,38,53,64,349,563,43,4,63,53,25,9,62,36,23,675,297,187,40,37,38,53,64,349,563,43,4,63,53,25,69
675,37,5,6,17,37,43,674,219,297,630,68,642,13,149,297,630,36,43,674,37,5,6,17,37,43,674,219,297,630,68,642,13,149,297,630,36,43,674,285
69,675,549,195,68,57,32,37,57,279,196,40,21,35,13,65,64,279,146,68,675,549,195,68,57,32,37,57,279,196,40,21,35,13,65,64,279,146,68,592
675,545,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,677,545,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,677,254
23,44,62,21,19,43,674,17,17,36,395,7,29,528,664,42,4,64,504,10,44,62,21,19,43,674,17,17,36,395,7,29,528,664,42,4,64,504,10,589
21,29,675,423,426,281,292,36,545,182,68,559,6,42,10,341,471,36,23,9,29,675,423,426,281,292,36,545,182,68,559,6,42,10,341,471,36,23,9,62
63,53,25,69,10,674,406,61,63,57,285,357,42,628,379,544,10,270,7,29,53,25,69,10,674,406,61,63,57,285,357,42,628,379,544,10,270,7,29,42
11,286,283,348,37,674,501,157,42,133,185,444,40,306,23,64,354,63,36,21,286,283,348,37,674,501,157,42,133,185,444,40,306,23,64,354,63,36,21,29
53,21,29,675,411,151,42,275,218,10,27,65,68,453,56,29,9,62,36,23,21,29,675,411,151,42,275,218,10,27,65,68,453,56,29,9,62,36,23,675
43,674,41,22,65,10,4,64,9,62,36,23,675,285,293,43,293,38,57,42,674,41,22,65,10,4,64,9,62,36,23,675,285,293,43,293,38,57,42,37
274,68,279,40,21,35,364,564,68,616,50,35,215,15,44,349,24,599,242,230,68,279,40,21,35,364,564,68,616,50,35,215,15,44,349,24,599,242,230,400
587,506,36,678,681,671,674,224,273,587,506,36,679,676,675,683,671,40,39,63,506,36,678,681,671,674,224,273,587,506,36,679,676,675,683,671,40,39,63,53
36,395,7,64,512,268,40,512,31,53,21,29,675,285,357,297,68,287,56,35,395,7,64,512,268,40,512,31,53,21,29,675,285,357,297,68,287,56,35,54
345,23,64,17,37,10,36,11,53,25,69,675,181,51,38,616,50,29,61,6,23,64,17,37,10,36,11,53,25,69,675,181,51,38,616,50,29,61,6,40
23,675,570,32,35,8,11,53,23,10,674,427,145,279,297,43,275,218,37,277,675,570,32,35,8,11,53,23,10,674,427,145,279,297,43,275,218,37,277,437
23,675,36,23,10,674,189,658,36,133,444,183,579,40,569,65,29,37,8,63,675,36,23,10,674,189,658,36,133,444,183,579,40,569,65,29,37,8,63,674
318,40,481,285,315,43,4,63,53,25,69,9,62,674,481,293,297,478,152,131,40,481,285,315,43,4,63,53,25,69,9,62,674,481,293,297,478,152,131,40
252,7,64,325,518,42,475,353,40,231,23,64,37,593,244,68,489,21,53,21,7,64,325,518,42,475,353,40,231,23,64,37,593,244,68,489,21,53,21,29
636,36,57,293,166,43,549,195,42,567,68,531,306,40,636,626,7,53,25,69,36,57,293,166,43,549,195,42,567,68,531,306,40,636,626,7,53,25,69,675
35,11,29,42,43,674,4,13,17,37,39,11,286,283,348,37,674,501,157,42,11,29,42,43,674,4,13,17,37,39,11,286,283,348,37,674,501,157,42,133
64,37,542,11,53,21,29,675,67,29,21,10,297,478,30,32,29,221,134,522,37,542,11,53,21,29,675,67,29,21,10,297,478,30,32,29,221,134,522,203
501,157,10,4,39,29,29,31,68,343,32,35,5,53,23,675,27,21,35,10,157,10,4,39,29,29,31,68,343,32,35,5,53,23,675,27,21,35,10,69
42,315,36,43,4,63,53,25,69,675,2,358,293,43,279,297,53,36,674,290,315,36,43,4,63,53,25,69,675,2,358,293,43,279,297,53,36,674,290,43
23,675,545,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,675,545,156,137,42,285,357,57,674,184,13,42,156,543,61,63,674,621,40,677
402,423,68,574,65,35,2,285,293,395,545,3,42,349,563,357,68,576,7,53,423,68,574,65,35,2,285,293,395,545,3,42,349,563,357,68,576,7,53,21
126,40,37,32,35,43,631,563,30,10,674,402,423,40,43,470,637,168,36,21,40,37,32,35,43,631,563,30,10,674,402,423,40,43,470,637,168,36,21,60
475,314,521,57,398,521,57,285,293,10,179,158,39,268,238,10,277,5,3,675,314,521,57,398,521,57,285,293,10,179,158,39,268,238,10,277,5,3,675,37
37,461,146,478,40,315,199,10,4,64,17,37,10,198,404,21,53,21,29,675,461,146,478,40,315,199,10,4,64,17,37,10,198,404,21,53,21,29,675,398
17,65,9,62,4,39,29,400,68,343,32,35,5,64,42,43,674,444,568,42,65,9,62,4,39,29,400,68,343,32,35,5,64,42,43,674,444,568,42,39
523,39,38,674,652,444,565,649,479,42,212,178,317,268,40,375,16,613,53,65,39,38,674,652,444,565,649,479,42,212,178,317,268,40,375,16,613,53,65,64
10,27,65,68,453,56,29,9,62,36,23,675,570,32,35,8,11,53,23,10,27,65,68,453,56,29,9,62,36,23,675,570,32,35,8,11,53,23,10,674
285,297,478,68,343,32,35,5,64,42,43,674,38,69,39,476,269,36,21,60,297,478,68,343,32,35,5,64,42,43,674,38,69,39,476,269,36,21,60,6
